City,City Latitude,City Longitude,Venue,id,Venue Latitude,Venue Longitude,Venue Category,Venue Rating,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
San Francisco,37.7875138,-122.40715900000001,The Olympic Club,4a6f3531f964a5209cd51fe3,37.78818105686168,-122.41106656038572,Gym / Fitness Center,9.4,1,Boutique,Jewelry Store,Liquor Store,Clothing Store,Furniture / Home Store,Plaza,Music Venue,Salon / Barbershop,Cocktail Bar,Bubble Tea Shop
Denver,39.75177015,-105.01387275739978,Mind Eraser,4df91800b61c6b97d1f1c937,39.74956155734978,-105.01388726041263,Theme Park Ride / Attraction,8.2,0,Cocktail Bar,Coffee Shop,Theme Park Ride / Attraction,Wine Bar,Pub,Aquarium,Brewery,Hawaiian Restaurant,Museum,Park
Denver,39.75177015,-105.01387275739978,Children's Museum of Denver,4b001557f964a520af3a22e3,39.748706891446325,-105.01706134102,Museum,8.6,0,Cocktail Bar,Coffee Shop,Theme Park Ride / Attraction,Wine Bar,Pub,Aquarium,Brewery,Hawaiian Restaurant,Museum,Park
Denver,39.75177015,-105.01387275739978,REI,4b038029f964a5209d4f22e3,39.755621999999995,-105.009853,Sporting Goods Shop,9.3,0,Cocktail Bar,Coffee Shop,Theme Park Ride / Attraction,Wine Bar,Pub,Aquarium,Brewery,Hawaiian Restaurant,Museum,Park
Denver,39.75177015,-105.01387275739978,Downtown Aquarium,4bc1fac24cdfc9b6854c9521,39.751822077302855,-105.0139394354768,Aquarium,7.6,0,Cocktail Bar,Coffee Shop,Theme Park Ride / Attraction,Wine Bar,Pub,Aquarium,Brewery,Hawaiian Restaurant,Museum,Park
Denver,39.75177015,-105.01387275739978,Confluence Park,4a35a988f964a520479d1fe3,39.75448692690256,-105.00856943810192,Park,8.7,0,Cocktail Bar,Coffee Shop,Theme Park Ride / Attraction,Wine Bar,Pub,Aquarium,Brewery,Hawaiian Restaurant,Museum,Park
Denver,39.75177015,-105.01387275739978,My Brother's Bar,40e0b100f964a520c0031fe3,39.75623169184121,-105.00922029546223,Pub,9.0,0,Cocktail Bar,Coffee Shop,Theme Park Ride / Attraction,Wine Bar,Pub,Aquarium,Brewery,Hawaiian Restaurant,Museum,Park
Denver,39.75177015,-105.01387275739978,Sapor Coffee & Concepts,5aec620d98fbfc002cf27bc5,39.756985567336415,-105.01784530648612,Coffee Shop,9.1,0,Cocktail Bar,Coffee Shop,Theme Park Ride / Attraction,Wine Bar,Pub,Aquarium,Brewery,Hawaiian Restaurant,Museum,Park
Denver,39.75177015,-105.01387275739978,Boomerang,4df7a6f162e141c90765629f,39.74835979981889,-105.01436362810709,Theme Park Ride / Attraction,7.8,0,Cocktail Bar,Coffee Shop,Theme Park Ride / Attraction,Wine Bar,Pub,Aquarium,Brewery,Hawaiian Restaurant,Museum,Park
Denver,39.75177015,-105.01387275739978,Pepsi Center,49e17e5ef964a520cf611fe3,39.74860824519365,-105.00757084463541,Stadium,8.8,0,Cocktail Bar,Coffee Shop,Theme Park Ride / Attraction,Wine Bar,Pub,Aquarium,Brewery,Hawaiian Restaurant,Museum,Park
Denver,39.75177015,-105.01387275739978,Sushi Sasa,49f7cdd6f964a520e06c1fe3,39.75670112214983,-105.00936667368003,Sushi Restaurant,8.9,0,Cocktail Bar,Coffee Shop,Theme Park Ride / Attraction,Wine Bar,Pub,Aquarium,Brewery,Hawaiian Restaurant,Museum,Park
Denver,39.75177015,-105.01387275739978,Briar Common,57f583d1498e9f3cdf086deb,39.7510618865664,-105.02041610384441,Brewery,8.2,0,Cocktail Bar,Coffee Shop,Theme Park Ride / Attraction,Wine Bar,Pub,Aquarium,Brewery,Hawaiian Restaurant,Museum,Park
Denver,39.75177015,-105.01387275739978,Starbucks,49f7cf79f964a520e16c1fe3,39.75501465,-105.00910449999999,Coffee Shop,8.1,0,Cocktail Bar,Coffee Shop,Theme Park Ride / Attraction,Wine Bar,Pub,Aquarium,Brewery,Hawaiian Restaurant,Museum,Park
Denver,39.75177015,-105.01387275739978,The Truffle Table,51abdd9c498e2d3dc5235d1c,39.75812885138886,-105.01164282658493,Wine Bar,8.7,0,Cocktail Bar,Coffee Shop,Theme Park Ride / Attraction,Wine Bar,Pub,Aquarium,Brewery,Hawaiian Restaurant,Museum,Park
Denver,39.75177015,-105.01387275739978,Ste. Ellie,54a4d2d8498ea948a40d1641,39.75739989729396,-105.00841579144371,Cocktail Bar,9.1,0,Cocktail Bar,Coffee Shop,Theme Park Ride / Attraction,Wine Bar,Pub,Aquarium,Brewery,Hawaiian Restaurant,Museum,Park
Denver,39.75177015,-105.01387275739978,Proto's Pizza-Denver,4a7b4471f964a52088ea1fe3,39.75679712905078,-105.00893734680209,Pizza Place,8.5,0,Cocktail Bar,Coffee Shop,Theme Park Ride / Attraction,Wine Bar,Pub,Aquarium,Brewery,Hawaiian Restaurant,Museum,Park
Denver,39.75177015,-105.01387275739978,Ohana Island Kitchen,5761a36f498e95975b7f836d,39.7582776,-105.0113466,Hawaiian Restaurant,8.7,0,Cocktail Bar,Coffee Shop,Theme Park Ride / Attraction,Wine Bar,Pub,Aquarium,Brewery,Hawaiian Restaurant,Museum,Park
Denver,39.75177015,-105.01387275739978,El Five,58ffd6839ec39952a61f6fe7,39.75919610071765,-105.01130134557131,Tapas Restaurant,9.3,0,Cocktail Bar,Coffee Shop,Theme Park Ride / Attraction,Wine Bar,Pub,Aquarium,Brewery,Hawaiian Restaurant,Museum,Park
Denver,39.75177015,-105.01387275739978,Denver Aquarium - The Dive Lounge,4daa01e6bf882cb7a94e708f,39.75206157638257,-105.01355113525456,Cocktail Bar,7.2,0,Cocktail Bar,Coffee Shop,Theme Park Ride / Attraction,Wine Bar,Pub,Aquarium,Brewery,Hawaiian Restaurant,Museum,Park
Denver,39.75177015,-105.01387275739978,Colt & Gray,4aa5c7cef964a5206f4920e3,39.757468441981054,-105.00825911618836,American Restaurant,8.7,0,Cocktail Bar,Coffee Shop,Theme Park Ride / Attraction,Wine Bar,Pub,Aquarium,Brewery,Hawaiian Restaurant,Museum,Park
Denver,39.75177015,-105.01387275739978,Elitch Gardens Theme & Water Park,4a32a737f964a520729a1fe3,39.75004490229126,-105.0107606591242,Theme Park,7.4,0,Cocktail Bar,Coffee Shop,Theme Park Ride / Attraction,Wine Bar,Pub,Aquarium,Brewery,Hawaiian Restaurant,Museum,Park
Seattle,47.6048723,-122.3334582,Biscuit B*tch,5762cc9ccd1085a720b1433e,47.603237,-122.33201000000001,Breakfast Spot,9.0,2,Coffee Shop,Hotel,Cocktail Bar,Social Club,Noodle House,Concert Hall,Clothing Store,Japanese Restaurant,Sandwich Place,American Restaurant
Seattle,47.6048723,-122.3334582,Columbia Tower Club,451c049bf964a520803a1fe3,47.60450651693834,-122.33048379421234,Social Club,8.9,2,Coffee Shop,Hotel,Cocktail Bar,Social Club,Noodle House,Concert Hall,Clothing Store,Japanese Restaurant,Sandwich Place,American Restaurant
Seattle,47.6048723,-122.3334582,"Loews Hotel 1000, Seattle",455864a4f964a520403d1fe3,47.60516393,-122.33612951,Hotel,8.7,2,Coffee Shop,Hotel,Cocktail Bar,Social Club,Noodle House,Concert Hall,Clothing Store,Japanese Restaurant,Sandwich Place,American Restaurant
Seattle,47.6048723,-122.3334582,Metropolitan Grill,47b5b90bf964a520ae4d1fe3,47.604617106881044,-122.33427985479376,Steakhouse,8.6,2,Coffee Shop,Hotel,Cocktail Bar,Social Club,Noodle House,Concert Hall,Clothing Store,Japanese Restaurant,Sandwich Place,American Restaurant
Seattle,47.6048723,-122.3334582,Kimpton Hotel Monaco Seattle,457945ebf964a520cc3e1fe3,47.606932,-122.3341,Hotel,8.5,2,Coffee Shop,Hotel,Cocktail Bar,Social Club,Noodle House,Concert Hall,Clothing Store,Japanese Restaurant,Sandwich Place,American Restaurant
Seattle,47.6048723,-122.3334582,Storyville Coffee Company,52d456c811d24128cdd7bc8b,47.604759232051656,-122.33636210125788,Coffee Shop,8.3,2,Coffee Shop,Hotel,Cocktail Bar,Social Club,Noodle House,Concert Hall,Clothing Store,Japanese Restaurant,Sandwich Place,American Restaurant
Seattle,47.6048723,-122.3334582,Tat's Delicatessen,455c500ef964a5206e3d1fe3,47.601901016106545,-122.3324232258795,Sandwich Place,8.9,2,Coffee Shop,Hotel,Cocktail Bar,Social Club,Noodle House,Concert Hall,Clothing Store,Japanese Restaurant,Sandwich Place,American Restaurant
Seattle,47.6048723,-122.3334582,Red Bowls,4ab7e782f964a5206b7b20e3,47.604654474206626,-122.33321114382031,Noodle House,8.2,2,Coffee Shop,Hotel,Cocktail Bar,Social Club,Noodle House,Concert Hall,Clothing Store,Japanese Restaurant,Sandwich Place,American Restaurant
Seattle,47.6048723,-122.3334582,Fjällräven,52b4d334498e0fe1ffca7f79,47.6058002767604,-122.33721687452362,Clothing Store,8.5,2,Coffee Shop,Hotel,Cocktail Bar,Social Club,Noodle House,Concert Hall,Clothing Store,Japanese Restaurant,Sandwich Place,American Restaurant
Seattle,47.6048723,-122.3334582,Smith Tower Observation Bar,5ab5e04ce679bc6844b3448d,47.60201211476762,-122.33179258432051,Cocktail Bar,8.7,2,Coffee Shop,Hotel,Cocktail Bar,Social Club,Noodle House,Concert Hall,Clothing Store,Japanese Restaurant,Sandwich Place,American Restaurant
Seattle,47.6048723,-122.3334582,Benaroya Hall,41f98080f964a5203b1f1fe3,47.607957467728596,-122.33645572511436,Concert Hall,9.1,2,Coffee Shop,Hotel,Cocktail Bar,Social Club,Noodle House,Concert Hall,Clothing Store,Japanese Restaurant,Sandwich Place,American Restaurant
Seattle,47.6048723,-122.3334582,Luly Yang Couture,4b0dc329f964a520954f23e3,47.608041474108646,-122.33437189377544,Bridal Shop,8.6,2,Coffee Shop,Hotel,Cocktail Bar,Social Club,Noodle House,Concert Hall,Clothing Store,Japanese Restaurant,Sandwich Place,American Restaurant
Seattle,47.6048723,-122.3334582,The Capital Grille,4a8cd2ecf964a5202e0f20e3,47.60811479979853,-122.33507741481772,American Restaurant,8.7,2,Coffee Shop,Hotel,Cocktail Bar,Social Club,Noodle House,Concert Hall,Clothing Store,Japanese Restaurant,Sandwich Place,American Restaurant
Seattle,47.6048723,-122.3334582,Penelope and The Beauty Bar,504e7942e4b06a5988112a15,47.60811709139168,-122.33387229232754,Spa,8.6,2,Coffee Shop,Hotel,Cocktail Bar,Social Club,Noodle House,Concert Hall,Clothing Store,Japanese Restaurant,Sandwich Place,American Restaurant
Seattle,47.6048723,-122.3334582,Seattle Art Museum,42a63500f964a5200a251fe3,47.60705223081685,-122.33781915742607,Art Museum,8.9,2,Coffee Shop,Hotel,Cocktail Bar,Social Club,Noodle House,Concert Hall,Clothing Store,Japanese Restaurant,Sandwich Place,American Restaurant
Seattle,47.6048723,-122.3334582,The Bar Shoppe,551366a2498e757161a41151,47.6017370522256,-122.3331297391518,Cocktail Bar,8.5,2,Coffee Shop,Hotel,Cocktail Bar,Social Club,Noodle House,Concert Hall,Clothing Store,Japanese Restaurant,Sandwich Place,American Restaurant
Seattle,47.6048723,-122.3334582,Cherry Street Coffee House,49d3e558f964a520225c1fe3,47.602767368983095,-122.33415096584942,Coffee Shop,8.1,2,Coffee Shop,Hotel,Cocktail Bar,Social Club,Noodle House,Concert Hall,Clothing Store,Japanese Restaurant,Sandwich Place,American Restaurant
Seattle,47.6048723,-122.3334582,The 5th Avenue Theatre,449ae181f964a5209f341fe3,47.60899623755753,-122.33416229442129,Theater,8.9,2,Coffee Shop,Hotel,Cocktail Bar,Social Club,Noodle House,Concert Hall,Clothing Store,Japanese Restaurant,Sandwich Place,American Restaurant
Seattle,47.6048723,-122.3334582,Starbucks Reserve Bar,58ad168cd8e55956ea9db67e,47.60702679709682,-122.33819858997651,Coffee Shop,8.7,2,Coffee Shop,Hotel,Cocktail Bar,Social Club,Noodle House,Concert Hall,Clothing Store,Japanese Restaurant,Sandwich Place,American Restaurant
Seattle,47.6048723,-122.3334582,Okinawa Teriyaki,457da38cf964a5202c3f1fe3,47.605109000000006,-122.337969,Japanese Restaurant,8.2,2,Coffee Shop,Hotel,Cocktail Bar,Social Club,Noodle House,Concert Hall,Clothing Store,Japanese Restaurant,Sandwich Place,American Restaurant
